Event	ID	Name			Wwise Object Path	Notes
	70763155	Play_organ_release			\Default Work Unit\Play_organ_release	
	603186159	Play_sunbathed_ivy			\Default Work Unit\Play_sunbathed_ivy	
	622392560	Play_moonstone			\Default Work Unit\Play_moonstone	
	987105281	Play_chimera_claw			\Default Work Unit\Play_chimera_claw	
	1149159311	Play_button_click			\Default Work Unit\Play_button_click	
	1256853996	Play_boil			\Default Work Unit\Play_boil	
	1506709500	Play_myrrh			\Default Work Unit\Play_myrrh	
	1545039113	Play_heart_beat			\Default Work Unit\Play_heart_beat	
	1729406560	Play_general_release			\Default Work Unit\SFX\Play_general_release	
	1871809092	Play_fairy_dust			\Default Work Unit\Play_fairy_dust	
	2046168745	Play_spirit_of_the_sages			\Default Work Unit\Play_spirit_of_the_sages	
	2121040196	Play_organ_click			\Default Work Unit\Play_organ_click	
	2345606802	Play_moon_mushroom			\Default Work Unit\Play_moon_mushroom	
	2363214772	Play_amaranth			\Default Work Unit\Play_amaranth	
	2518694598	Play_scroll_magnifying_glass			\Default Work Unit\Play_scroll_magnifying_glass	
	2948119407	Play_deaths_flower			\Default Work Unit\Play_deaths_flower	
	3018165852	Play_general_tap			\Default Work Unit\SFX\Play_general_tap	
	3051426075	Play_tea_bag			\Default Work Unit\Play_tea_bag	
	3350264679	Play_toggle_magnifying_glass			\Default Work Unit\Play_toggle_magnifying_glass	
	3442601710	Play_lung_pump_click			\Default Work Unit\Play_lung_pump_click	
	3519015892	Play_grind			\Default Work Unit\Play_grind	
	3827058668	StartMusic			\Default Work Unit\Music\StartMusic	
	4021863785	Play_button_hover			\Default Work Unit\Play_button_hover	

State Group	ID	Name			Wwise Object Path	Notes
	1176052424	Location			\Default Work Unit\Location	

State	ID	Name	State Group			Notes
	748895195	None	Location			
	1117481573	Journals	Location			
	1438324778	Alchemy	Location			
	3310578182	MiniGame	Location			
	3604647259	MainMenu	Location			

Game Parameter	ID	Name			Wwise Object Path	Notes
	3176837105	IsLevelSelect			\Default Work Unit\IsLevelSelect	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	10500011	Lung Pump 1	Y:\Int Working Media Drive\mishMASH Studios\Shadow Corruption Unit\Alchemy Jam Repository\Jam\Jam_WwiseProject\.cache\Windows\SFX\Lung Pump 1_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Item Click\lung pump click\lung pump click\Lung Pump 1		54096
	66648140	Whole Book Page Flip	Y:\Int Working Media Drive\mishMASH Studios\Shadow Corruption Unit\Alchemy Jam Repository\Jam\Jam_WwiseProject\.cache\Windows\SFX\Whole Book Page Flip_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Location Switch\Transition Segments\Whole Book Page Flip\Whole Book Page Flip		266568
	70384945	SCU_Alchemy_Claw Scratch_V1_03	Y:\Int Working Media Drive\mishMASH Studios\Shadow Corruption Unit\Alchemy Jam Repository\Jam\Jam_WwiseProject\.cache\Windows\SFX\SCU_Alchemy_Claw Scratch_V1_03_99953D33.wem		\Actor-Mixer Hierarchy\Default Work Unit\Item Click\Alchemy\chimera claw\SCU_Alchemy_Claw Scratch_V1_03		108704
	117962856	organ release	Y:\Int Working Media Drive\mishMASH Studios\Shadow Corruption Unit\Alchemy Jam Repository\Jam\Jam_WwiseProject\.cache\Windows\SFX\Organ Release_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Item Click\organ click\organ release		72096
	207407049	SCU_Alchemy_Twig Snap_V1_02	Y:\Int Working Media Drive\mishMASH Studios\Shadow Corruption Unit\Alchemy Jam Repository\Jam\Jam_WwiseProject\.cache\Windows\SFX\SCU_Alchemy_Twig Snap_V1_02_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Item Click\Alchemy\myrrh\SCU_Alchemy_Twig Snap_V1_02		72792
	266028095	SCU_Alchemy_Claw Scratch_V1_01	Y:\Int Working Media Drive\mishMASH Studios\Shadow Corruption Unit\Alchemy Jam Repository\Jam\Jam_WwiseProject\.cache\Windows\SFX\SCU_Alchemy_Claw Scratch_V1_01_99953D33.wem		\Actor-Mixer Hierarchy\Default Work Unit\Item Click\Alchemy\chimera claw\SCU_Alchemy_Claw Scratch_V1_01		104608
	268022123	SCU_Alchemy_Mushroom Boing_V1_03	Y:\Int Working Media Drive\mishMASH Studios\Shadow Corruption Unit\Alchemy Jam Repository\Jam\Jam_WwiseProject\.cache\Windows\SFX\SCU_Alchemy_Mushroom Boing_V1_03_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Item Click\Alchemy\moon mushroom\SCU_Alchemy_Mushroom Boing_V1_03		221344
	274846537	gameplay_full_6_8_L82	Y:\Int Working Media Drive\mishMASH Studios\Shadow Corruption Unit\Alchemy Jam Repository\Jam\Jam_WwiseProject\.cache\Windows\SFX\gameplay_full_6_8_L82_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Location Switch\Minigame Playlist\gameplay_full_6_8_L82\gameplay_full_6_8_L82		27993760
	326523950	SCU_Alchemy_Mortar-Pestle_V1_02	Y:\Int Working Media Drive\mishMASH Studios\Shadow Corruption Unit\Alchemy Jam Repository\Jam\Jam_WwiseProject\.cache\Windows\SFX\SCU_Alchemy_Mortar-Pestle_V1_02_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Item Click\Alchemy\grind\SCU_Alchemy_Mortar-Pestle_V1_02		185628
	348617389	magnifying glass open	Y:\Int Working Media Drive\mishMASH Studios\Shadow Corruption Unit\Alchemy Jam Repository\Jam\Jam_WwiseProject\.cache\Windows\SFX\magnifying glass open_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Item Click\magnifying glass\toggle magnifying glass\magnifying glass open		24096
